Tournament,PlayerID,Name,FName,Club,Lineup,Position,Price
1009899,4388229,Gloukh,Oscar,AJA,expected,midfielder,6.5
1009899,4388230,Bouwman,Aaron,AJA,unexpected,defender,4
1009899,4388231,Pasveer,Remko,AJA,unexpected,goalkeeper,4
1009899,4388232,Heerkens,Joeri,AJA,unexpected,goalkeeper,4
1009899,4388233,Klaassen,Davy,AJA,possible,midfielder,5.5
1009899,4388234,Sutalo ,Josip,AJA,unexpected,defender,4.5
1009899,4388235,McConnell,James,AJA,unexpected,midfielder,4.5
1009899,4388236,van den Boomen ,Branco,AJA,injured,midfielder,4.5
1009899,4388237,Weghorst,Wout,AJA,expected,forward,6
1009899,4388238,Godts,Mika,AJA,unexpected,midfielder,5.5
1009899,4388239,Dolberg,Kasper,AJA,unexpected,forward,7
1009899,4388240,Edvardsen,Oliver,AJA,unexpected,midfielder,5
1009899,4388241,Itakura,Ko,AJA,expected,defender,4.5
1009899,4388242,Wijndal,Owen,AJA,expected,defender,4.5
1009899,4388243,Gaaei,Anton,AJA,possible,defender,5
1009899,4388244,Rosa,Lucas,AJA,expected,defender,4.5
1009899,4388245,Fitz-Jim,Kian,AJA,expected,midfielder,5
1009899,4388246,Berghuis,Steven,AJA,expected,midfielder,6
1009899,4388247,Jaros,Vitezslav,AJA,expected,goalkeeper,4.5
1009899,4388248,Moro,Raul,AJA,expected,midfielder,5
1009899,4388249,Regeer,Youri,AJA,unexpected,midfielder,4.5
1009899,4388250,Konadu,Don-Angelo,AJA,unexpected,forward,4.5
1009899,4388251,Mokio,Jorthy,AJA,unexpected,midfielder,4.5
1009899,4388252,Taylor,Kenneth,AJA,expected,midfielder,5.5
1009899,4388253,Baas,Youri,AJA,expected,defender,4.5
1009899,4388254,Saliba,William,ARS,expected,defender,6
1009899,4388255,Mosquera,Cristhian,ARS,unexpected,defender,5
1009899,4388256,Merino,Mikel,ARS,possible,midfielder,6
1009899,4388257,Timber,Jurrien,ARS,expected,defender,6
1009899,4388258,Hincapie,Piero,ARS,possible,defender,5.5
1009899,4388259,Rice,Declan,ARS,expected,midfielder,7
