Tournament,PlayerID,Name,FName,Club,Lineup,Position,Price
1010808,4342289,Herrera,Yangel,RSO,injured,midfielder,5.1
1010808,4342365,Courtois,Thibaut,RMA,expected,goalkeeper,9.6
1010808,4342367,Vinicius Jr.,Vinicius Jr.,RMA,expected,midfielder,12.3
1010808,4342370,Huijsen,Dean,RMA,expected,defender,8.7
1010808,4342371,Carreras,Alvaro,RMA,expected,defender,9
1010808,4342372,Mendy,Ferland,RMA,unexpected,defender,8.1
1010808,4342374,Rodrygo,Rodrygo,RMA,unexpected,midfielder,11.1
1010808,4342375,Bellingham,Jude,RMA,injured,midfielder,11.9
1010808,4342380,Militao,Eder,RMA,possible,defender,8.6
1010808,4342381,Rudiger,Antonio,RMA,expected,defender,8.9
1010808,4342389,Ceballos,Dani,RMA,unexpected,midfielder,9.3
1010808,4342391,Mbappe,Kylian,RMA,expected,forward,12.5
1010808,4342406,Garcia,Gonzalo,RMA,unexpected,forward,10.3
1010808,4342407,Guler,Arda,RMA,expected,midfielder,11.5
1010808,4342411,Endrick,Endrick,RMA,unexpected,forward,10
1010808,4342425,Alaba,David,RMA,unexpected,defender,8
1010808,4342426,Camavinga,Eduardo,RMA,unexpected,midfielder,9.4
1010808,4342428,Carvajal,Daniel,RMA,expected,defender,8.8
1010808,4342429,Alexander-Arnold,Trent,RMA,possible,defender,9.2
1010808,4342436,Tchouameni,Aurelien,RMA,expected,midfielder,9.6
1010808,4342437,Diaz,Brahim,RMA,possible,midfielder,10.5
1010808,4342442,Garcia,Fran,RMA,unexpected,defender,8.4
1010808,4342449,Lunin,Andriy,RMA,unexpected,goalkeeper,9.3
1010808,4342459,Valverde,Federico,RMA,expected,midfielder,10.7
1010808,4342464,Martin,Jon,RSO,possible,defender,4.4
1010808,4342466,Asencio,Raul,RMA,unexpected,defender,8.2
1010808,4342467,Karrikaburu,Jon,RSO,unexpected,forward,5.2
1010808,4342473,Mariezkurrena,Arkaitz,RSO,unexpected,midfielder,4.7
1010808,4342474,Elustondo,Aritz,RSO,unexpected,defender,4.3
1010808,4342475,Munoz,Aihen,RSO,expected,defender,4.7
1010808,4342476,Gorrotxategi,Jon,RSO,expected,midfielder,4.8
1010808,4342478,Zakharyan,Arsen,RSO,unexpected,midfielder,4.9
1010808,4342482,Sadiq,Umar,RSO,unexpected,forward,5.5
1010808,4342485,Sucic,Luka,RSO,possible,midfielder,5.3
1010808,4342489,Zubeldia,Igor,RSO,expected,defender,4.6
1010808,4342497,Aramburu,Jon,RSO,expected,defender,4.8
1010808,4342514,Gomez,Sergio,RSO,possible,midfielder,5.6
1010808,4342518,Marin,Pablo,RSO,expected,midfielder,5
1010808,4342525,Caleta-Car,Duje,RSO,expected,defender,4.5
1010808,4342528,Barrenetxea,Ander,RSO,expected,midfielder,6
1010808,4342529,Oyarzabal,Mikel,RSO,expected,forward,6.2
1010808,4342534,Marrero,Unai,RSO,unexpected,goalkeeper,5
1010808,4342535,Oskarsson,Orri,RSO,unexpected,forward,5.8
1010808,4342536,Turrientes,Benat,RSO,unexpected,midfielder,5.2
1010808,4342544,Odriozola,Alvaro,RSO,unexpected,defender,4.2
1010808,4342549,Mendez,Brais,RSO,expected,midfielder,5.9
1010808,4342550,Guedes,Goncalo,RSO,unexpected,midfielder,5.7
1010808,4342562,Remiro,Alex,RSO,expected,goalkeeper,5.2
1010808,4342567,Kubo,Takefusa,RSO,expected,midfielder,6.1
1010808,4354568,Mastantuono,Franco,RMA,expected,midfielder,10.2
1010808,4357335,Goti,Mikel,RSO,unexpected,midfielder,4.9
1010808,4392192,Soler,Carlos,RSO,unexpected,midfielder,5.4
